,WinXwin,Comp,Talk,Vehicle,Avg. Rank
Local Reachability Total All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Total Minimization,114.655 (13),108.476 (21),108.867 (4),123.514 (9),11.75
Local Coverage Average All-Pairs Similarity (incl source) Cross-Label Deviation Minimization,106.403 (32),99.178 (43),100.764 (57),108.800 (45),44.25
Local Coverage Average All-Pairs Similarity (incl source) Cross-Label Total Minimization,105.695 (38),98.990 (45),101.361 (51),110.273 (34),42.00
Local Coverage Average All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,113.543 (18),111.347 (13),107.803 (15),118.792 (17),15.75
Local Coverage Average All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Total Minimization,113.359 (20),110.373 (18),108.142 (12),119.591 (14),16.00
Local Coverage Average Direct Similarity Cross-Label Deviation Minimization,105.801 (36),98.871 (48),103.023 (39),109.752 (35),39.50
Local Coverage Average Direct Similarity Cross-Label Total Minimization,105.158 (43),98.982 (46),100.438 (58),109.517 (37),46.00
Local Coverage Average Direct Similarity (With Sparsity) Cross-Label Deviation Minimization,113.726 (16),111.932 (6),107.867 (13),119.462 (16),12.75
Local Coverage Average Direct Similarity (With Sparsity) Cross-Label Total Minimization,113.321 (21),111.798 (9),108.816 (6),120.334 (13),12.25
Local Coverage Average All-Pairs Similarity (excl source) Cross-Label Deviation Minimization,106.403 (32),99.178 (43),100.764 (57),108.800 (45),44.25
Local Coverage Average All-Pairs Similarity (excl source) Cross-Label Total Minimization,105.695 (38),98.990 (45),101.361 (51),110.273 (34),42.00
Local Coverage Average All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Deviation Minimization,113.543 (18),111.347 (13),107.803 (15),118.792 (17),15.75
Local Coverage Average All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Total Minimization,113.359 (20),110.373 (18),108.142 (12),119.591 (14),16.00
Local Coverage Total All-Pairs Similarity (incl source) Cross-Label Deviation Minimization,105.115 (44),98.557 (49),99.758 (61),108.954 (43),49.25
Local Coverage Total All-Pairs Similarity (incl source) Cross-Label Total Minimization,104.402 (49),99.100 (44),100.814 (56),109.171 (39),47.00
Local Coverage Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,118.502 (4),111.969 (5),107.206 (20),125.481 (1),7.50
Local Coverage Total All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Total Minimization,118.083 (7),110.955 (15),108.692 (7),124.798 (6),8.75
Local Coverage Total Counting Cross-Label Deviation Minimization,109.482 (26),101.852 (34),102.566 (42),112.005 (29),32.75
Local Coverage Total Counting Cross-Label Total Minimization,105.188 (42),98.942 (47),101.027 (53),108.981 (42),46.00
